Basics:
Snow-Covered Forest | ['Forest'] | ({T}: Add {G}.)
Scattered Groves | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Sheltered Thicket | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)

Exert lands:
Cinder Marsh | [] | {T}: Add {C}. {T}: Add {B} or {R}. This land doesn't untap during your next untap step.
Cloudcrest Lake | [] | {T}: Add {C}. {T}: Add {W} or {U}. This land doesn't untap during your next untap step.
Lantern-Lit Graveyard | [] | {T}: Add {C}. {T}: Add {B} or {R}. This land doesn't untap during your next untap step.
Mogg Hollows | [] | {T}: Add {C}. {T}: Add {R} or {G}. This land doesn't untap during your next untap step.
Pinecrest Ridge | [] | {T}: Add {C}. {T}: Add {R} or {G}. This land doesn't untap during your next untap step.
Rootwater Depths | [] | {T}: Add {C}. {T}: Add {U} or {B}. This land doesn't untap during your next untap step.
Thalakos Lowlands | [] | {T}: Add {C}. {T}: Add {W} or {U}. This land doesn't untap during your next untap step.
Tranquil Garden | [] | {T}: Add {C}. {T}: Add {G} or {W}. This land doesn't untap during your next untap step.
Vec Townships | [] | {T}: Add {C}. {T}: Add {G} or {W}. This land doesn't untap during your next untap step.
Waterveil Cavern | [] | {T}: Add {C}. {T}: Add {U} or {B}. This land doesn't untap during your next untap step.

Vivid lands:
Vivid Crag | [] | This land enters tapped with two charge counters on it. {T}: Add {R}. {T}, Remove a charge counter from this land: Add one mana of any color.
Vivid Creek | [] | This land enters tapped with two charge counters on it. {T}: Add {U}. {T}, Remove a charge counter from this land: Add one mana of any color.
Vivid Grove | [] | This land enters tapped with two charge counters on it. {T}: Add {G}. {T}, Remove a charge counter from this land: Add one mana of any color.
Vivid Marsh | [] | This land enters tapped with two charge counters on it. {T}: Add {B}. {T}, Remove a charge counter from this land: Add one mana of any color.
Vivid Meadow | [] | This land enters tapped with two charge counters on it. {T}: Add {W}. {T}, Remove a charge counter from this land: Add one mana of any color.

////Worse fetches:
Autosacs:
Brokers Hideout | [] | When this land enters, sacrifice it. When you do, search your library for a basic Forest, Plains, or Island card, put it onto the battlefield tapped, then shuffle and you gain 1 life.
Cabaretti Courtyard | [] | When this land enters, sacrifice it. When you do, search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shuffle and you gain 1 life.
Maestros Theater | [] | When this land enters, sacrifice it. When you do, search your library for a basic Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle and you gain 1 life.
Obscura Storefront | [] | When this land enters, sacrifice it. When you do, search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuffle and you gain 1 life.
Riveteers Overlook | [] | When this land enters, sacrifice it. When you do, search your library for a basic Swamp, Mountain, or Forest card, put it onto the battlefield tapped, then shuffle and you gain 1 life.

Cycling panoramas:
Bountiful Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Forest, Island, or Mountain card, put it onto the battlefield tapped, then shuffle. Cycling {G}{U}{R} ({G}{U}{R}, Discard this card: Draw a card.)
Contaminated Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuffle. Cycling {W}{U}{B} ({W}{U}{B}, Discard this card: Draw a card.)
Deceptive Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Plains, Swamp, or Forest card, put it onto the battlefield tapped, then shuffle. Cycling {W}{B}{G} ({W}{B}{G}, Discard this card: Draw a card.)
Foreboding Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Swamp, Forest, or Island card, put it onto the battlefield tapped, then shuffle. Cycling {B}{G}{U} ({B}{G}{U}, Discard this card: Draw a card.)
Perilous Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Island, Mountain, or Plains card, put it onto the battlefield tapped, then shuffle. Cycling {U}{R}{W} ({U}{R}{W}, Discard this card: Draw a card.)
Seething Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle. Cycling {U}{B}{R} ({U}{B}{R}, Discard this card: Draw a card.)
Shattered Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Mountain, Plains, or Swamp card, put it onto the battlefield tapped, then shuffle. Cycling {R}{W}{B} ({R}{W}{B}, Discard this card: Draw a card.)
Sheltering Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shuffle. Cycling {R}{G}{W} ({R}{G}{W}, Discard this card: Draw a card.)
Tranquil Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Forest, Plains, or Island card, put it onto the battlefield tapped, then shuffle. Cycling {G}{W}{U} ({G}{W}{U}, Discard this card: Draw a card.)
Twisted Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Swamp, Mountain, or Forest card, put it onto the battlefield tapped, then shuffle. Cycling {B}{R}{G} ({B}{R}{G}, Discard this card: Draw a card.)

Panoramas:
Bant Panorama | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Forest, Plains, or Island card, put it onto the battlefield tapped, then shuffle.
Esper Panorama | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuffle.
Grixis Panorama | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.
Jund Panorama | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Swamp, Mountain, or Forest card, put it onto the battlefield tapped, then shuffle.
Naya Panorama | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shuffle.

Misc worse fetches:
Bad River | [] | This land enters tapped. {T}, Sacrifice this land: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle.
Flood Plain | [] | This land enters tapped. {T}, Sacrifice this land: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle.
Grasslands | [] | This land enters tapped. {T}, Sacrifice this land: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle.
Mountain Valley | [] | This land enters tapped. {T}, Sacrifice this land: Search your library for a Mountain or Forest card, put it onto the battlefield, then shuffle.
Rocky Tar Pit | [] | This land enters tapped. {T}, Sacrifice this land: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle.

Dual Storage Lands:
Calciform Pools | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {1}, Remove X storage counters from this land: Add X mana in any combination of {W} and/or {U}.
Dreadship Reef | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {1}, Remove X storage counters from this land: Add X mana in any combination of {U} and/or {B}.
Fungal Reaches | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {1}, Remove X storage counters from this land: Add X mana in any combination of {R} and/or {G}.
Molten Slagheap | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {1}, Remove X storage counters from this land: Add X mana in any combination of {B} and/or {R}.
Saltcrusted Steppe | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {1}, Remove X storage counters from this land: Add X mana in any combination of {G} and/or {W}.

Bad storage lands:
Bottomless Vault | [] | This land enters tapped. You may choose not to untap this land during your untap step. At the beginning of your upkeep, if this land is tapped, put a storage counter on it. {T}, Remove any number of storage counters from this land: Add {B} for each storage counter removed this way.
Dwarven Hold | [] | This land enters tapped. You may choose not to untap this land during your untap step. At the beginning of your upkeep, if this land is tapped, put a storage counter on it. {T}, Remove any number of storage counters from this land: Add {R} for each storage counter removed this way.
Hollow Trees | [] | This land enters tapped. You may choose not to untap this land during your untap step. At the beginning of your upkeep, if this land is tapped, put a storage counter on it. {T}, Remove any number of storage counters from this land: Add {G} for each storage counter removed this way.
Icatian Store | [] | This land enters tapped. You may choose not to untap this land during your untap step. At the beginning of your upkeep, if this land is tapped, put a storage counter on it. {T}, Remove any number of storage counters from this land: Add {W} for each storage counter removed this way.
Sand Silos | [] | This land enters tapped. You may choose not to untap this land during your untap step. At the beginning of your upkeep, if this land is tapped, put a storage counter on it. {T}, Remove any number of storage counters from this land: Add {U} for each storage counter removed this way.

Less bad storage lands:
Mage-Ring Network | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {T}, Remove any number of storage counters from this land: Add {C} for each storage counter removed this way.
Fountain of Cho | [] | This land enters tapped. {T}: Put a storage counter on this land. {T}, Remove any number of storage counters from this land: Add {W} for each storage counter removed this way.
Mercadian Bazaar | [] | This land enters tapped. {T}: Put a storage counter on this land. {T}, Remove any number of storage counters from this land: Add {R} for each storage counter removed this way.
Rushwood Grove | [] | This land enters tapped. {T}: Put a storage counter on this land. {T}, Remove any number of storage counters from this land: Add {G} for each storage counter removed this way.
Saprazzan Cove | [] | This land enters tapped. {T}: Put a storage counter on this land. {T}, Remove any number of storage counters from this land: Add {U} for each storage counter removed this way.
Subterranean Hangar | [] | This land enters tapped. {T}: Put a storage counter on this land. {T}, Remove any number of storage counters from this land: Add {B} for each storage counter removed this way.

Bad pains:
Caldera Lake | [] | This land enters tapped. {T}: Add {C}. {T}: Add {U} or {R}. This land deals 1 damage to you.
Pine Barrens | [] | This land enters tapped. {T}: Add {C}. {T}: Add {B} or {G}. This land deals 1 damage to you.
Salt Flats | [] | This land enters tapped. {T}: Add {C}. {T}: Add {W} or {B}. This land deals 1 damage to you.
Scabland | [] | This land enters tapped. {T}: Add {C}. {T}: Add {R} or {W}. This land deals 1 damage to you.
Skyshroud Forest | [] | This land enters tapped. {T}: Add {C}. {T}: Add {G} or {U}. This land deals 1 damage to you.

Gain lands:
Akoum Refuge | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {B} or {R}.
Bloodfell Caves | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {B} or {R}.
Blossoming Sands | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {G} or {W}.
Dismal Backwater | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {U} or {B}.
Graypelt Refuge | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {G} or {W}.
Jungle Hollow | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {B} or {G}.
Jwar Isle Refuge | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {U} or {B}.
Kazandu Refuge | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {R} or {G}.
Rugged Highlands | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {R} or {G}.
Scoured Barrens | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {W} or {B}.
Sejiri Refuge | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {W} or {U}.
Swiftwater Cliffs | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {U} or {R}.
Thornwood Falls | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {G} or {U}.
Tranquil Cove | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {W} or {U}.
Wind-Scarred Crag | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {R} or {W}.

Typeless tritaps:
Arcane Sanctum | [] | This land enters tapped. {T}: Add {W}, {U}, or {B}.
Crumbling Necropolis | [] | This land enters tapped. {T}: Add {U}, {B}, or {R}.
Frontier Bivouac | [] | This land enters tapped. {T}: Add {G}, {U}, or {R}.
Jungle Shrine | [] | This land enters tapped. {T}: Add {R}, {G}, or {W}.
Mystic Monastery | [] | This land enters tapped. {T}: Add {U}, {R}, or {W}.
Nomad Outpost | [] | This land enters tapped. {T}: Add {R}, {W}, or {B}.
Opulent Palace | [] | This land enters tapped. {T}: Add {B}, {G}, or {U}.
Sandsteppe Citadel | [] | This land enters tapped. {T}: Add {W}, {B}, or {G}.
Savage Lands | [] | This land enters tapped. {T}: Add {B}, {R}, or {G}.
Seaside Citadel | [] | This land enters tapped. {T}: Add {G}, {W}, or {U}.

Double down lands:
Cactus Preserve | ['Desert'] | This land enters tapped. {T}: Add one mana of any type that a land you control could produce. {3}: Until end of turn, this land becomes an X/X green Plant creature with reach, where X is the greatest mana value among your commanders. It's still a land.
Horizon of Progress | [] | {T}, Pay 1 life: Add one mana of any type that a land you control could produce. {3}, {T}: You may put a land card from your hand onto the battlefield tapped. {1}, {T}, Sacrifice this land: Draw a card.
Reflecting Pool | [] | {T}: Add one mana of any type that a land you control could produce.

/////Irrelevant DualTap cycles
(below is alone?)
Coastal Tower | [] | Coastal Tower enters tapped. {T}: Add {W} or {U}.

"Stingers":
Abraded Bluffs | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {R} or {W}.
Bristling Backwoods | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {R} or {G}.
Creosote Heath | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {G} or {W}.
Eroded Canyon | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {U} or {R}.
Festering Gulch | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {B} or {G}.
Forlorn Flats | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {W} or {B}.
Jagged Barrens | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {B} or {R}.
Lonely Arroyo | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {W} or {U}.
Lush Oasis | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {G} or {U}.
Soured Springs | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {U} or {B}.

"Gates"
Azorius Guildgate | ['Gate'] | This land enters tapped. {T}: Add {W} or {U}.
Boros Guildgate | ['Gate'] | This land enters tapped. {T}: Add {R} or {W}.
Dimir Guildgate | ['Gate'] | This land enters tapped. {T}: Add {U} or {B}.
Golgari Guildgate | ['Gate'] | This land enters tapped. {T}: Add {B} or {G}.
Gruul Guildgate | ['Gate'] | This land enters tapped. {T}: Add {R} or {G}.
Izzet Guildgate | ['Gate'] | This land enters tapped. {T}: Add {U} or {R}.
Orzhov Guildgate | ['Gate'] | This land enters tapped. {T}: Add {W} or {B}.
Rakdos Guildgate | ['Gate'] | This land enters tapped. {T}: Add {B} or {R}.
Selesnya Guildgate | ['Gate'] | This land enters tapped. {T}: Add {G} or {W}.
Simic Guildgate | ['Gate'] | This land enters tapped. {T}: Add {G} or {U}.

Lairs:
Crosis's Catacombs | ['Lair'] | When this land enters, sacrifice it unless you return a non-Lair land you control to its owner's hand. {T}: Add {U}, {B}, or {R}.
Darigaaz's Caldera | ['Lair'] | When this land enters, sacrifice it unless you return a non-Lair land you control to its owner's hand. {T}: Add {B}, {R}, or {G}.
Dromar's Cavern | ['Lair'] | When this land enters, sacrifice it unless you return a non-Lair land you control to its owner's hand. {T}: Add {W}, {U}, or {B}.
Rith's Grove | ['Lair'] | When this land enters, sacrifice it unless you return a non-Lair land you control to its owner's hand. {T}: Add {R}, {G}, or {W}.
Treva's Ruins | ['Lair'] | When this land enters, sacrifice it unless you return a non-Lair land you control to its owner's hand. {T}: Add {G}, {W}, or {U}.

Urza's lands:
Urza's Cave | ["Urza's", 'Cave'] | {T}: Add {C}. {3}, {T}, Sacrifice this land: Search your library for a land card, put it onto the battlefield tapped, then shuffle.
Urza's Mine | ["Urza's", 'Mine'] | {T}: Add {C}. If you control an Urza's Power-Plant and an Urza's Tower, add {C}{C} instead.
Urza's Power Plant | ["Urza's", 'Power-Plant'] | {T}: Add {C}. If you control an Urza's Mine and an Urza's Tower, add {C}{C} instead.
Urza's Saga | ["Urza's", 'Saga'] | (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — This Saga gains "{T}: Add {C}." II — This Saga gains "{2}, {T}: Create a 0/0 colorless Construct artifact creature token with 'This token gets +1/+1 for each artifact you control.'" III — Search your library for an artifact card with mana cost {0} or {1}, put it onto the battlefield, then shuffle.
Urza's Tower | ["Urza's", 'Tower'] | {T}: Add {C}. If you control an Urza's Mine and an Urza's Power-Plant, add {C}{C}{C} instead.

Limited wubrg lands:
Command Tower | [] | {T}: Add one mana of any color in your commander's color identity.
Exotic Orchard | [] | {T}: Add one mana of any color that a land an opponent controls could produce.
Forbidden Orchard | [] | {T}: Add one mana of any color. Whenever you tap this land for mana, target opponent creates a 1/1 colorless Spirit creature token.
Rainbow Vale | [] | {T}: Add one mana of any color. An opponent gains control of this land at the beginning of the next end step.
The Big Top | [] | {T}: Add one mana of any color that appears on your top. (A top is an outerwear garment worn on the upper body.)
Undiscovered Paradise | [] | {T}: Add one mana of any color. During your next untap step, as you untap your permanents, return this land to its owner's hand.
City of Brass | [] | Whenever this land becomes tapped, it deals 1 damage to you. {T}: Add one mana of any color.
Forsaken City | [] | This land doesn't untap during your untap step. At the beginning of your upkeep, you may exile a card from your hand. If you do, untap this land. {T}: Add one mana of any color.
Glimmervoid | [] | At the beginning of the end step, if you control no artifacts, sacrifice this land. {T}: Add one mana of any color.
Gond Gate | ['Gate'] | Gates you control enter untapped. {T}: Add {C}. {T}: Add one mana of any color that a Gate you control could produce.
Grand Coliseum | [] | This land enters tapped. {T}: Add {C}. {T}: Add one mana of any color. This land deals 1 damage to you.
Mirrex | ['Sphere'] | {T}: Add {C}. {T}: Add one mana of any color. Activate only if this land entered this turn. {3}, {T}: Create a 1/1 colorless Phyrexian Mite artifact creature token with toxic 1 and "This token can't block." (Players dealt combat damage by it also get a poison counter.)
Paliano, the High City | [] | Reveal this card as you draft it. The player to your right chooses a color, you choose another color, then the player to your left chooses a third color. {T}: Add one mana of any color chosen as you drafted cards named Paliano, the High City.
Path of Ancestry | [] | This land enters tapped. {T}: Add one mana of any color in your commander's color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
Pit of Offerings | ['Cave'] | This land enters tapped. When this land enters, exile up to three target cards from graveyards. {T}: Add {C}. {T}: Add one mana of any of the exiled cards' colors.
Plaza of Harmony | [] | When this land enters, if you control two or more Gates, you gain 3 life. {T}: Add {C}. {T}: Add one mana of any type that a Gate you control could produce.
Public Thoroughfare | [] | This land enters tapped. When this land enters, sacrifice it unless you tap an untapped artifact or land you control. {T}: Add one mana of any color.
Tarnished Citadel | [] | {T}: Add {C}. {T}: Add one mana of any color. This land deals 3 damage to you.
The Grey Havens | [] | When The Grey Havens enters, scry 1. {T}: Add {C}. {T}: Add one mana of any color among legendary creature cards in your graveyard.
Thran Quarry | [] | At the beginning of the end step, if you control no creatures, sacrifice this land. {T}: Add one mana of any color.
Underdome | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to pay Un-costs.

"Towns"
Balamb Garden, SeeD Academy // Balamb Garden, Airborne | {'Vehicle', 'Town'} | This land enters tapped. {T}: Add {G} or {U}. {5}{G}{U}, {T}: Transform this land. This ability costs {1} less to activate for each other Town you control. // Flying Whenever Balamb Garden attacks, draw a card. Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)
Baron, Airship Kingdom | ['Town'] | This land enters tapped. {T}: Add {U} or {R}.
Gohn, Town of Ruin | ['Town'] | This land enters tapped. {T}: Add {B} or {G}.
Gongaga, Reactor Town | ['Town'] | This land enters tapped. {T}: Add {R} or {G}.
Guadosalam, Farplane Gateway | ['Town'] | This land enters tapped. {T}: Add {G} or {U}.
Insomnia, Crown City | ['Town'] | This land enters tapped. {T}: Add {W} or {B}.
Rabanastre, Royal City | ['Town'] | This land enters tapped. {T}: Add {R} or {W}.
Sharlayan, Nation of Scholars | ['Town'] | This land enters tapped. {T}: Add {W} or {U}.
Treno, Dark City | ['Town'] | This land enters tapped. {T}: Add {U} or {B}.
Vector, Imperial Capital | ['Town'] | This land enters tapped. {T}: Add {B} or {R}.
Windurst, Federation Center | ['Town'] | This land enters tapped. {T}: Add {G} or {W}.

YouknowwhatIjustregexed out the rest of these:
Arctic Flats | [] | This land enters tapped. {T}: Add {G} or {W}.
Ballroom | [] | This land enters tapped. {T}: Add {W} or {B}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Billiard Room | [] | This land enters tapped. {T}: Add {B} or {R}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Boreal Shelf | [] | This land enters tapped. {T}: Add {W} or {U}.
Botanical Plaza | [] | This land enters tapped. {T}: Add {G} or {W}. {2}{G}{W}, {T}, Sacrifice this land: Draw a card.
Celestial Colonnade | [] | This land enters tapped. {T}: Add {W} or {U}. {3}{W}{U}: Until end of turn, this land becomes a 4/4 white and blue Elemental creature with flying and vigilance. It's still a land.
Cinder Barrens | [] | This land enters tapped. {T}: Add {B} or {R}.
Conservatory | [] | This land enters tapped. {T}: Add {G} or {W}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Creeping Tar Pit | [] | This land enters tapped. {T}: Add {U} or {B}. {1}{U}{B}: This land becomes a 3/2 blue and black Elemental creature until end of turn and can't be blocked this turn. It's still a land.
Darkmoss Bridge | [] | This land enters tapped. Indestructible {T}: Add {B} or {G}.
Dining Room | [] | This land enters tapped. {T}: Add {R} or {G}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Drossforge Bridge | [] | This land enters tapped. Indestructible {T}: Add {B} or {R}.
Elfhame Palace | [] | This land enters tapped. {T}: Add {G} or {W}.
Forsaken Sanctuary | [] | This land enters tapped. {T}: Add {W} or {B}.
Foul Orchard | [] | This land enters tapped. {T}: Add {B} or {G}.
Frost Marsh | [] | This land enters tapped. {T}: Add {U} or {B}.
Goldmire Bridge | [] | This land enters tapped. Indestructible {T}: Add {W} or {B}.
Hall | [] | This land enters tapped. {T}: Add {R} or {W}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Highland Lake | [] | This land enters tapped. {T}: Add {U} or {R}.
Highland Weald | [] | This land enters tapped. {T}: Add {R} or {G}.
Hissing Quagmire | [] | This land enters tapped. {T}: Add {B} or {G}. {1}{B}{G}: This land becomes a 2/2 black and green Elemental creature with deathtouch until end of turn. It's still a land.
Kitchen | [] | This land enters tapped. {T}: Add {G} or {U}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Lavaclaw Reaches | [] | This land enters tapped. {T}: Add {B} or {R}. {1}{B}{R}: Until end of turn, this land becomes a 2/2 black and red Elemental creature with "{X}: This creature gets +X/+0 until end of turn." It's still a land.
Library | [] | This land enters tapped. {T}: Add {U} or {R}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Lorehold Campus | [] | This land enters tapped. {T}: Add {R} or {W}. {4}, {T}: Scry 1.
Lounge | [] | This land enters tapped. {T}: Add {B} or {G}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Lumbering Falls | [] | This land enters tapped. {T}: Add {G} or {U}. {2}{G}{U}: This land becomes a 3/3 green and blue Elemental creature with hexproof until end of turn. It's still a land.
Meandering River | [] | This land enters tapped. {T}: Add {W} or {U}.
Mistvault Bridge | [] | This land enters tapped. Indestructible {T}: Add {U} or {B}.
Needle Spires | [] | This land enters tapped. {T}: Add {R} or {W}. {2}{R}{W}: This land becomes a 2/1 red and white Elemental creature with double strike until end of turn. It's still a land.
Prismari Campus | [] | This land enters tapped. {T}: Add {U} or {R}. {4}, {T}: Scry 1.
Quandrix Campus | [] | This land enters tapped. {T}: Add {G} or {U}. {4}, {T}: Scry 1.
Racers' Ring | [] | This land enters tapped. {T}: Add {R} or {G}. {2}{R}{G}, {T}, Sacrifice this land: Draw a card.
Raging Ravine | [] | This land enters tapped. {T}: Add {R} or {G}. {2}{R}{G}: Until end of turn, this land becomes a 3/3 red and green Elemental creature with "Whenever this creature attacks, put a +1/+1 counter on it." It's still a land.
Razortide Bridge | [] | This land enters tapped. Indestructible {T}: Add {W} or {U}.
Restless Anchorage | [] | This land enters tapped. {T}: Add {W} or {U}. {1}{W}{U}: Until end of turn, this land becomes a 2/3 white and blue Bird creature with flying. It's still a land. Whenever this land attacks, create a Map token.
Restless Bivouac | [] | This land enters tapped. {T}: Add {R} or {W}. {1}{R}{W}: This land becomes a 2/2 red and white Ox creature until end of turn. It's still a land. Whenever this land attacks, put a +1/+1 counter on target creature you control.
Restless Cottage | [] | This land enters tapped. {T}: Add {B} or {G}. {2}{B}{G}: This land becomes a 4/4 black and green Horror creature until end of turn. It's still a land. Whenever this land attacks, create a Food token and exile up to one target card from a graveyard.
Restless Fortress | [] | This land enters tapped. {T}: Add {W} or {B}. {2}{W}{B}: This land becomes a 1/4 white and black Nightmare creature until end of turn. It's still a land. Whenever this land attacks, defending player loses 2 life and you gain 2 life.
Restless Prairie | [] | This land enters tapped. {T}: Add {G} or {W}. {2}{G}{W}: This land becomes a 3/3 green and white Llama creature until end of turn. It's still a land. Whenever this land attacks, other creatures you control get +1/+1 until end of turn.
Restless Reef | [] | This land enters tapped. {T}: Add {U} or {B}. {2}{U}{B}: Until end of turn, this land becomes a 4/4 blue and black Shark creature with deathtouch. It's still a land. Whenever this land attacks, target player mills four cards.
Restless Ridgeline | [] | This land enters tapped. {T}: Add {R} or {G}. {2}{R}{G}: This land becomes a 3/4 red and green Dinosaur creature until end of turn. It's still a land. Whenever this land attacks, another target attacking creature gets +2/+0 until end of turn. Untap that creature.
Restless Spire | [] | This land enters tapped. {T}: Add {U} or {R}. {U}{R}: Until end of turn, this land becomes a 2/1 blue and red Elemental creature with "During your turn, this creature has first strike." It's still a land. Whenever this land attacks, scry 1.
Restless Vents | [] | This land enters tapped. {T}: Add {B} or {R}. {1}{B}{R}: Until end of turn, this land becomes a 2/3 black and red Insect creature with menace. It's still a land. Whenever this land attacks, you may discard a card. If you do, draw a card.
Restless Vinestalk | [] | This land enters tapped. {T}: Add {G} or {U}. {3}{G}{U}: Until end of turn, this land becomes a 5/5 green and blue Plant creature with trample. It's still a land. Whenever this land attacks, up to one other target creature has base power and toughness 3/3 until end of turn.
Rustvale Bridge | [] | This land enters tapped. Indestructible {T}: Add {R} or {W}.
Salt Marsh | [] | This land enters tapped. {T}: Add {U} or {B}.
Secret Passage | [] | This land enters tapped. {T}: Add {U} or {B}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Shambling Vent | [] | This land enters tapped. {T}: Add {W} or {B}. {1}{W}{B}: This land becomes a 2/3 white and black Elemental creature with lifelink until end of turn. It's still a land.
Shivan Oasis | [] | This land enters tapped. {T}: Add {R} or {G}.
Silverbluff Bridge | [] | This land enters tapped. Indestructible {T}: Add {U} or {R}.
Silverquill Campus | [] | This land enters tapped. {T}: Add {W} or {B}. {4}, {T}: Scry 1.
Skybridge Towers | [] | This land enters tapped. {T}: Add {W} or {U}. {2}{W}{U}, {T}, Sacrifice this land: Draw a card.
Slagwoods Bridge | [] | This land enters tapped. Indestructible {T}: Add {R} or {G}.
Stirring Wildwood | [] | This land enters tapped. {T}: Add {G} or {W}. {1}{G}{W}: Until end of turn, this land becomes a 3/4 green and white Elemental creature with reach. It's still a land.
