Artifact Lands:
Ancient Den | [] | {T}: Add {W}.
Forge of Heroes | [] | {T}: Add {C}. {T}: Choose target commander that entered this turn. Put a +1/+1 counter on it if it's a creature and a loyalty counter on it if it's a planeswalker.
Foundry of the Consuls | [] | {T}: Add {C}. {5}, {T}, Sacrifice this land: Create two 1/1 colorless Thopter artifact creature tokens with flying.
Fountainport | [] | {T}: Add {C}. {2}, {T}, Sacrifice a token: Draw a card. {3}, {T}, Pay 1 life: Create a 1/1 blue Fish creature token. {4}, {T}: Create a Treasure token.
Frostwalk Bastion | [] | {T}: Add {C}. {1}{S}: Until end of turn, this land becomes a 2/3 Construct artifact creature. It's still a land. ({S} can be paid with one mana from a snow source.) Whenever this land deals combat damage to a creature, tap that creature and it doesn't untap during its controller's next untap step.
Gargoyle Castle | [] | {T}: Add {C}. {5}, {T}, Sacrifice this land: Create a 3/4 colorless Gargoyle artifact creature token with flying.
Geier Reach Sanitarium | [] | {T}: Add {C}. {2}, {T}: Each player draws a card, then discards a card.
Ghost Town | [] | {T}: Add {C}. {0}: Return this land to its owner's hand. Activate only if it's not your turn.
Glimmerpost | ['Locus'] | When this land enters, you gain 1 life for each Locus on the battlefield. {T}: Add {C}.
Gods' Eye, Gate to the Reikai | [] | {T}: Add {C}. When Gods' Eye is put into a graveyard from the battlefield, create a 1/1 colorless Spirit creature token.
Grasping Dunes | ['Desert'] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Put a -1/-1 counter on target creature. Activate only as a sorcery.
Haunted Fengraf | [] | {T}: Add {C}. {3}, {T}, Sacrifice this land: Return a creature card at random from your graveyard to your hand.
HELIOS One | [] | {T}: Add {C}. {1}, {T}: You get {E} (an energy counter). {3}, {T}, Pay X {E}, Sacrifice this land: Destroy target nonland permanent with mana value X. Activate only as a sorcery.
High Market | [] | {T}: Add {C}. {T}, Sacrifice a creature: You gain 1 life.
Homeward Path | [] | {T}: Add {C}. {T}: Each player gains control of all creatures they own.
Hostile Desert | ['Desert'] | {T}: Add {C}. {2}, Exile a land card from your graveyard: This land becomes a 3/4 Elemental creature until end of turn. It's still a land.
Hostile Hostel // Creeping Inn | {'Construct', 'Horror'} | {T}: Add {C}. {1}, {T}, Sacrifice a creature: Put a soul counter on this land. Then if there are three or more soul counters on it, remove those counters, transform it, then untap it. Activate only as a sorcery. // Whenever this creature attacks, you may exile a creature card from your graveyard. If you do, each opponent loses X life and you gain X life, where X is the number of creature cards exiled with this creature. {4}: This creature phases out.
Inkmoth Nexus | [] | {T}: Add {C}. {1}: This land becomes a 1/1 Phyrexian Blinkmoth artifact creature with flying and infect until end of turn. It's still a land. (It deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
Karn's Bastion | [] | {T}: Add {C}. {4}, {T}: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
Labyrinth of Skophos | [] | {T}: Add {C}. {4}, {T}: Remove target attacking or blocking creature from combat.
Library of Alexandria | [] | {T}: Add {C}. {T}: Draw a card. Activate only if you have exactly seven cards in hand.
Mariposa Military Base | [] | You may have this land enter tapped. If you do, you get two rad counters. {T}: Add {C}. {5}, {T}: Draw a card. This ability costs {1} less to activate for each rad counter you have.
Mikokoro, Center of the Sea | [] | {T}: Add {C}. {2}, {T}: Each player draws a card.
Miren, the Moaning Well | [] | {T}: Add {C}. {3}, {T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.
Mishra's Factory | [] | {T}: Add {C}. {1}: This land becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land. {T}: Target Assembly-Worker creature gets +1/+1 until end of turn.
Mishra's Foundry | [] | {T}: Add {C}. {2}: This land becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land. {1}, {T}: Target attacking Assembly-Worker gets +2/+2 until end of turn.
Mobilized District | [] | {T}: Add {C}. {4}: This land becomes a 3/3 Citizen creature with vigilance until end of turn. It's still a land. This ability costs {1} less to activate for each legendary creature and planeswalker you control.
Mouth of Ronom | [] | {T}: Add {C}. {4}{S}, {T}, Sacrifice this land: It deals 4 damage to target creature. ({S} can be paid with one mana from a snow source.)
Mutavault | [] | {T}: Add {C}. {1}: This land becomes a 2/2 creature with all creature types until end of turn. It's still a land.
Mystifying Maze | [] | {T}: Add {C}. {4}, {T}: Exile target attacking creature an opponent controls. At the beginning of the next end step, return it to the battlefield tapped under its owner's control.
Nephalia Academy | [] | If a spell or ability an opponent controls causes you to discard a card, you may reveal that card and put it on top of your library instead of putting it anywhere else. {T}: Add {C}.
Nesting Grounds | [] | {T}: Add {C}. {1}, {T}: Move a counter from target permanent you control onto another target permanent. Activate only as a sorcery.
Ominous Cemetery | [] | {T}: Add {C}. {5}, {T}, Exile this land: Target creature's owner shuffles it into their library.
Petrified Field | [] | {T}: Add {C}. {T}, Sacrifice this land: Return target land card from your graveyard to your hand.
Phyrexia's Core | [] | {T}: Add {C}. {1}, {T}, Sacrifice an artifact: You gain 1 life.
Quicksand | [] | {T}: Add {C}. {T}, Sacrifice this land: Target attacking creature without flying gets -1/-2 until end of turn.
Radiant Fountain | [] | When this land enters, you gain 2 life. {T}: Add {C}.
Rath's Edge | [] | {T}: Add {C}. {4}, {T}, Sacrifice a land: Rath's Edge deals 1 damage to any target.
R&D's Secret Lair | [] | Play cards as written. Ignore all errata. {T}: Add {C}. (This mana is still added to your mana pool.)
Reliquary Tower | [] | You have no maximum hand size. {T}: Add {C}.
Rishadan Port | [] | {T}: Add {C}. {1}, {T}: Tap target land.
Roadside Reliquary | [] | {T}: Add {C}. {2}, {T}, Sacrifice this land: Draw a card if you control an artifact. Draw a card if you control an enchantment.
Rogue's Passage | [] | {T}: Add {C}. {4}, {T}: Target creature can't be blocked this turn.
Sanctum of Eternity | [] | {T}: Add {C}. {2}, {T}: Return target commander you own from the battlefield to your hand. Activate only during your turn.
Sandstorm Verge | ['Desert'] | {T}: Add {C}. {3}, {T}: Target creature can't block this turn. Activate only as a sorcery.
Scavenger Grounds | ['Desert'] | {T}: Add {C}. {2}, {T}, Sacrifice a Desert: Exile all graveyards.
Scrying Sheets | [] | {T}: Add {C}. {1}{S}, {T}: Look at the top card of your library. If that card is snow, you may reveal it and put it into your hand. ({S} can be paid with one mana from a snow source.)
Sequestered Stash | [] | {T}: Add {C}. {4}, {T}, Sacrifice this land: Mill five cards. Then you may put an artifact card from your graveyard on top of your library.
Seraph Sanctuary | [] | When this land enters, you gain 1 life. Whenever an Angel you control enters, you gain 1 life. {T}: Add {C}.
Sheltered Valley | [] | If this land would enter, instead sacrifice each other permanent named Sheltered Valley you control, then put this land onto the battlefield. At the beginning of your upkeep, if you control three or fewer lands, you gain 1 life. {T}: Add {C}.
Snow-Covered Wastes | [] | {T}: Add {C}.
Soulstone Sanctuary | [] | {T}: Add {C}. {4}: This land becomes a 3/3 creature with vigilance and all creature types. It's still a land.
Stalking Stones | [] | {T}: Add {C}. {6}: This land becomes a 3/3 Elemental artifact creature that's still a land. (This effect lasts indefinitely.)
Strip Mine | [] | {T}: Add {C}. {T}, Sacrifice this land: Destroy target land.
Sunscorched Desert | ['Desert'] | When this land enters, it deals 1 damage to target player or planeswalker. {T}: Add {C}.
Swarmyard | [] | {T}: Add {C}. {T}: Regenerate target Insect, Rat, Spider, or Squirrel. (The next time it would be destroyed this turn, instead tap it, remove it from combat, and heal all damage on it.)
Tectonic Edge | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Destroy target nonbasic land. Activate only if an opponent controls four or more lands.
The Biblioplex | [] | {T}: Add {C}. {2}, {T}: Look at the top card of your library. If it's an instant or sorcery card, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard. Activate only if you have exactly zero or seven cards in hand.
The Gold Saucer | ['Town'] | {T}: Add {C}. {2}, {T}: Flip a coin. If you win the flip, create a Treasure token. {3}, {T}, Sacrifice two artifacts: Draw a card.
The Monumental Facade | ['Sphere'] | This land enters with two oil counters on it. {T}: Add {C}. {T}, Remove an oil counter from this land: Put an oil counter on target artifact or creature you control. Activate only as a sorcery.
Thespian's Stage | [] | {T}: Add {C}. {2}, {T}: This land becomes a copy of target land, except it has this ability.
Throne of the High City | [] | {T}: Add {C}. {4}, {T}, Sacrifice this land: You become the monarch.
Tocasia's Dig Site | [] | {T}: Add {C}. {3}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Tomb of the Spirit Dragon | [] | {T}: Add {C}. {2}, {T}: You gain 1 life for each colorless creature you control.
Tower of the Magistrate | [] | {T}: Add {C}. {1}, {T}: Target creature gains protection from artifacts until end of turn.
Treasure Vault | [] | {T}: Add {C}. {X}{X}, {T}, Sacrifice this land: Create X Treasure tokens.
Trenchpost | ['Locus'] | {T}: Add {C}. {3}, {T}: Target player mills a card for each Locus you control.
Tyrite Sanctum | [] | {T}: Add {C}. {2}, {T}: Target legendary creature becomes a God in addition to its other types. Put a +1/+1 counter on it. {4}, {T}, Sacrifice this land: Put an indestructible counter on target God.
Underdark Rift | [] | {T}: Add {C}. {5}, {T}, Exile this land: Roll a d10. Put target artifact, creature, or planeswalker into its owner's library just beneath the top X cards of that library, where X is the result. Activate only as a sorcery.
Unstable Frontier | [] | {T}: Add {C}. {T}: Target land you control becomes the basic land type of your choice until end of turn.
Urza's Factory | ["Urza's"] | {T}: Add {C}. {7}, {T}: Create a 2/2 colorless Assembly-Worker artifact creature token.
Urza's Workshop | ["Urza's"] | {T}: Add {C}. Metalcraft — {T}: Add {C} for each Urza's land you control. Activate only if you control three or more artifacts.
War Room | [] | {T}: Add {C}. {3}, {T}, Pay life equal to the number of colors in your commanders' color identity: Draw a card.
Wasteland | [] | {T}: Add {C}. {T}, Sacrifice this land: Destroy target nonbasic land.
Wastes | [] | {T}: Add {C}.
Westvale Abbey // Ormendahl, Profane Prince | {'Demon'} | {T}: Add {C}. {5}, {T}, Pay 1 life: Create a 1/1 white and black Human Cleric creature token. {5}, {T}, Sacrifice five creatures: Transform this land, then untap it. // Flying, lifelink, indestructible, haste
Winding Canyons | [] | {T}: Add {C}. {2}, {T}: You may cast creature spells this turn as though they had flash.
Wintermoon Mesa | [] | This land enters tapped. {T}: Add {C}. {2}, {T}, Sacrifice this land: Tap two target lands.
Witch's Clinic | [] | {T}: Add {C}. {2}, {T}: Target commander gains lifelink until end of turn.
Zhalfirin Void | [] | When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {C}.
Zoetic Cavern | [] | {T}: Add {C}. Morph {2} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
Academy Ruins | [] | {T}: Add {C}. {1}{U}, {T}: Put target artifact card from your graveyard on top of your library.
Alchemist's Refuge | [] | {T}: Add {C}. {G}{U}, {T}: You may cast spells this turn as though they had flash.
Blighted Cataract | [] | {T}: Add {C}. {5}{U}, {T}, Sacrifice this land: Draw two cards.
Blighted Fen | [] | {T}: Add {C}. {4}{B}, {T}, Sacrifice this land: Target opponent sacrifices a creature of their choice.
Blighted Gorge | [] | {T}: Add {C}. {4}{R}, {T}, Sacrifice this land: It deals 2 damage to any target.
Blighted Steppe | [] | {T}: Add {C}. {3}{W}, {T}, Sacrifice this land: You gain 2 life for each creature you control.
Contested Cliffs | [] | {T}: Add {C}. {R}{G}, {T}: Target Beast creature you control fights target creature an opponent controls. (Each deals damage equal to its power to the other.)
Daru Encampment | [] | {T}: Add {C}. {W}, {T}: Target Soldier creature gets +1/+1 until end of turn.
Desolate Lighthouse | [] | {T}: Add {C}. {1}{U}{R}, {T}: Draw a card, then discard a card.
Duskmantle, House of Shadow | [] | {T}: Add {C}. {U}{B}, {T}: Target player mills a card.
Gavony Township | [] | {T}: Add {C}. {2}{G}{W}, {T}: Put a +1/+1 counter on each creature you control.
Goblin Burrows | [] | {T}: Add {C}. {1}{R}, {T}: Target Goblin creature gets +2/+0 until end of turn.
Grim Backwoods | [] | {T}: Add {C}. {2}{B}{G}, {T}, Sacrifice a creature: Draw a card.
Grove of the Guardian | [] | {T}: Add {C}. {3}{G}{W}, {T}, Tap two untapped creatures you control, Sacrifice this land: Create an 8/8 green and white Elemental creature token with vigilance.
Hall of Heliod's Generosity | [] | {T}: Add {C}. {1}{W}, {T}: Put target enchantment card from your graveyard on top of your library.
Hanweir Battlements | [] | {T}: Add {C}. {R}, {T}: Target creature gains haste until end of turn. {3}{R}{R}, {T}: If you both own and control this land and a creature named Hanweir Garrison, exile them, then meld them into Hanweir, the Writhing Township.
Hellion Crucible | [] | {T}: Add {C}. {1}{R}, {T}: Put a pressure counter on this land. {1}{R}, {T}, Remove two pressure counters from this land and sacrifice it: Create a 4/4 red Hellion creature token with haste. (It can attack and {T} as soon as it comes under your control.)
Junktown | [] | {T}: Add {C}. {4}{R}, {T}, Sacrifice this land: Create three Junk tokens. (They're artifacts with "{T}, Sacrifice this token: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.")
Keldon Necropolis | [] | {T}: Add {C}. {4}{R}, {T}, Sacrifice a creature: Keldon Necropolis deals 2 damage to any target.
Kessig Wolf Run | [] | {T}: Add {C}. {X}{R}{G}, {T}: Target creature gets +X/+0 and gains trample until end of turn.
Kher Keep | [] | {T}: Add {C}. {1}{R}, {T}: Create a 0/1 red Kobold creature token named Kobolds of Kher Keep.
Kor Haven | [] | {T}: Add {C}. {1}{W}, {T}: Prevent all combat damage that would be dealt by target attacking creature this turn.
Mirrorpool | [] | This land enters tapped. {T}: Add {C}. {2}{C}, {T}, Sacrifice this land: Copy target instant or sorcery spell you control. You may choose new targets for the copy. {4}{C}, {T}, Sacrifice this land: Create a token that's a copy of target creature you control.
Moorland Haunt | [] | {T}: Add {C}. {W}{U}, {T}, Exile a creature card from your graveyard: Create a 1/1 white Spirit creature token with flying.
Nantuko Monastery | [] | {T}: Add {C}. Threshold — {G}{W}: This land becomes a 4/4 green and white Insect Monk creature with first strike until end of turn. It's still a land. Activate only if seven or more cards are in your graveyard.
Nephalia Drownyard | [] | {T}: Add {C}. {1}{U}{B}, {T}: Target player mills three cards.
Nivix, Aerie of the Firemind | [] | {T}: Add {C}. {2}{U}{R}, {T}: Exile the top card of your library. Until your next turn, you may cast it if it's an instant or sorcery spell.
Novijen, Heart of Progress | [] | {T}: Add {C}. {G}{U}, {T}: Put a +1/+1 counter on each creature that entered this turn.
Orzhova, the Church of Deals | [] | {T}: Add {C}. {3}{W}{B}, {T}: Target player loses 1 life and you gain 1 life.
Prahv, Spires of Order | [] | {T}: Add {C}. {4}{W}{U}, {T}: Prevent all damage a source of your choice would deal this turn.
Riptide Laboratory | [] | {T}: Add {C}. {1}{U}, {T}: Return target Wizard you control to its owner's hand.
Rix Maadi, Dungeon Palace | [] | {T}: Add {C}. {1}{B}{R}, {T}: Each player discards a card. Activate only as a sorcery.
Ruins of Oran-Rief | [] | This land enters tapped. {T}: Add {C}. ({C} represents colorless mana.) {T}: Put a +1/+1 counter on target colorless creature that entered this turn.
Sea Gate Wreckage | [] | {T}: Add {C}. ({C} represents colorless mana.) {2}{C}, {T}: Draw a card. Activate only if you have no cards in hand.
Seaside Haven | [] | {T}: Add {C}. {W}{U}, {T}, Sacrifice a Bird: Draw a card.
Shivan Gorge | [] | {T}: Add {C}. {2}{R}, {T}: Shivan Gorge deals 1 damage to each opponent.
Skarrg, the Rage Pits | [] | {T}: Add {C}. {R}{G}, {T}: Target creature gets +1/+1 and gains trample until end of turn.
Slayers' Stronghold | [] | {T}: Add {C}. {R}{W}, {T}: Target creature gets +2/+0 and gains vigilance and haste until end of turn.
Starlit Sanctum | [] | {T}: Add {C}. {W}, {T}, Sacrifice a Cleric creature: You gain life equal to the sacrificed creature's toughness. {B}, {T}, Sacrifice a Cleric creature: Target player loses life equal to the sacrificed creature's power.
Stensia Bloodhall | [] | {T}: Add {C}. {3}{B}{R}, {T}: This land deals 2 damage to target player or planeswalker.
Sunhome, Fortress of the Legion | [] | {T}: Add {C}. {2}{R}{W}, {T}: Target creature gains double strike until end of turn.
Svogthos, the Restless Tomb | [] | {T}: Add {C}. {3}{B}{G}: Until end of turn, this land becomes a black and green Plant Zombie creature with "This creature's power and toughness are each equal to the number of creature cards in your graveyard." It's still a land.
Unholy Grotto | [] | {T}: Add {C}. {B}, {T}: Put target Zombie card from your graveyard on top of your library.
Vault of the Archangel | [] | {T}: Add {C}. {2}{W}{B}, {T}: Creatures you control gain deathtouch and lifelink until end of turn.
Vitu-Ghazi, the City-Tree | [] | {T}: Add {C}. {2}{G}{W}, {T}: Create a 1/1 green Saproling creature token.
Volrath's Stronghold | [] | {T}: Add {C}. {1}{B}, {T}: Put target creature card from your graveyard on top of your library.
Yavimaya Hollow | [] | {T}: Add {C}. {G}, {T}: Regenerate target creature.
Griffin Canyon | [] | {T}: Add {C}. {T}: Untap target Griffin. If it's a creature, it gets +1/+1 until end of turn.
Maze of Shadows | [] | {T}: Add {C}. {T}: Untap target attacking creature with shadow. Prevent all combat damage that would be dealt to and dealt by that creature this turn.

GROUPING: Lands that produce no mana
Adventurers' Guildhouse | [] | Green legendary creatures you control have "bands with other legendary creatures." (Any legendary creatures can attack in a band as long as at least one has "bands with other legendary creatures." Bands are blocked as a group. If at least two legendary creatures you control, one of which has "bands with other legendary creatures," are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Arena | [] | {3}, {T}: Tap target creature you control and target creature of an opponent's choice they control. Those creatures fight each other. (Each deals damage equal to its power to the other.)
Bazaar of Baghdad | [] | {T}: Draw two cards, then discard three cards.
Cathedral of Serra | [] | White legendary creatures you control have "bands with other legendary creatures." (Any legendary creatures can attack in a band as long as at least one has "bands with other legendary creatures." Bands are blocked as a group. If at least two legendary creatures you control, one of which has "bands with other legendary creatures," are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Dark Depths | [] | Dark Depths enters with ten ice counters on it. {3}: Remove an ice counter from Dark Depths. When Dark Depths has no ice counters on it, sacrifice it. If you do, create Marit Lage, a legendary 20/20 black Avatar creature token with flying and indestructible.
Diamond Valley | [] | {T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.
Glacial Chasm | [] | Cumulative upkeep—Pay 2 life. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) When this land enters, sacrifice a land. Creatures you control can't attack. Prevent all damage that would be dealt to you.
Halls of Mist | [] | Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.) Creatures that attacked during their controller's last turn can't attack.
Ice Floe | [] | You may choose not to untap this land during your untap step. {T}: Tap target creature without flying that's attacking you. It doesn't untap during its controller's untap step for as long as this land remains tapped.
Island of Wak-Wak | [] | {T}: Target creature with flying has base power 0 until end of turn.
Maze of Ith | [] | {T}: Untap target attacking creature. Prevent all combat damage that would be dealt to and dealt by that creature this turn.
Mountain Stronghold | [] | Red legendary creatures you control have "bands with other legendary creatures." (Any legendary creatures can attack in a band as long as at least one has "bands with other legendary creatures." Bands are blocked as a group. If at least two legendary creatures you control, one of which has "bands with other legendary creatures," are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Oasis | [] | {T}: Prevent the next 1 damage that would be dealt to target creature this turn.
Safe Haven | [] | {2}, {T}: Exile target creature you control. At the beginning of your upkeep, you may sacrifice this land. If you do, return each card exiled with this land to the battlefield under its owner's control.
Seafarer's Quay | [] | Blue legendary creatures you control have "bands with other legendary creatures." (Any legendary creatures can attack in a band as long as at least one has "bands with other legendary creatures." Bands are blocked as a group. If at least two legendary creatures you control, one of which has "bands with other legendary creatures," are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Sorrow's Path | [] | {T}: Choose two target blocking creatures controlled by the same opponent. If each of those creatures could block all creatures that the other is blocking, remove both of them from combat. Each one then blocks all creatures the other was blocking. Whenever this land becomes tapped, it deals 2 damage to you and each creature you control.
The Tabernacle at Pendrell Vale | [] | All creatures have "At the beginning of your upkeep, destroy this creature unless you pay {1}."
Thran Portal | ['Gate'] | This land enters tapped unless you control two or fewer other lands. As this land enters, choose a basic land type. This land is the chosen type in addition to its other types. Mana abilities of this land cost an additional 1 life to activate.
Unholy Citadel | [] | Black legendary creatures you control have "bands with other legendary creatures." (Any legendary creatures can attack in a band as long as at least one has "bands with other legendary creatures." Bands are blocked as a group. If at least two legendary creatures you control, one of which has "bands with other legendary creatures," are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
